trefwoord	homon	bettr	thema	subthema1	POS	hulpthema	jaarrek	bronboek	status	geleend_uit	leenvorm	opmerking	bron
brillantine		haarcrème	9. sociale leven	hygiëne	zelfstandig naamwoord		1912	KKU	leen	Frans			CW 2001
brille					zelfstandig naamwoord				pseudo-ontlening	pseudo-Frans			Leenwoordenboek 2005
brilleren		schitteren			werkwoord		1824		leen	Frans			EWB2
brio		levendigheid	18. muziek		zelfstandig naamwoord		1795	Aanv WNT	leen	Italiaans			CW 2001
brioche		zoet broodje	6. consumptie	brood	zelfstandig naamwoord		1847	KKU	leen	Frans			CW 2001
brionie		wilde wingerd, heggenrank			zelfstandig naamwoord		1484		leen	Latijn			EWB2
brique		steenrood			bijvoeglijk naamwoord		1984		leen	Frans			EWB2
briquet		aansteker			zelfstandig naamwoord		1824		leen	Frans			EWB2
brisant		snel ontploffend			bijvoeglijk naamwoord		1912		leen	Frans			EWB2
briseren		breken (heraldiek)			werkwoord		1992		leen	Frans			EWB2
brisure		breuk (in wapenkunde)			zelfstandig naamwoord		1488		leen	Frans			EWB2
Brit		inwoner van Brittanje			zelfstandig naamwoord		1766		leen	Engels			EWB2
brits		slaapplaats	9. sociale leven	meubels	zelfstandig naamwoord		1774	WNT	leen	Duits		huidige bet	CW 2001
brittanniametaal		witte legering			zelfstandig naamwoord		1872		leen	Engels			EWB2
broccatello		marmersoort			zelfstandig naamwoord		1847		leen	Italiaans			EWB2
broccoli		Italiaanse bloemkool	6. consumptie	groenten	zelfstandig naamwoord		1800	Aanv WNT	leen	Italiaans			CW 2001
broche					zelfstandig naamwoord				leen	Frans	broche		Leenwoordenboek 2005
brocheren					werkwoord				leen	Frans	brocher		Leenwoordenboek 2005
brochette		pen om vlees aan te roosteren	6. consumptie	gerei	zelfstandig naamwoord		1961	GVD	leen	Frans			CW 2001
brochure		vlugschrift	21. communicatie	schriftelijk	zelfstandig naamwoord		1796	Claes	leen	Frans			CW 2001
broderie		handborduurwerk			zelfstandig naamwoord		1777		leen	Frans			EWB2
broger		man, kerel			zelfstandig naamwoord		1928		leen	Jiddisch			EWB2
brogue		type schoen	9. sociale leven	schoeisel	zelfstandig naamwoord		1989	Peptalk	leen	Engels			CW 2001
brokaat		zware zijden stof, veelal met gouddraad geborduurd	9. sociale leven	stofnamen	zelfstandig naamwoord		1612	De Bruijn Tw. 10	leen	Italiaans			CW 2001
broker		beursagent	12. handel	beroepen	zelfstandig naamwoord	persoonsaanduiding	1912	KKU	leen	Engels			CW 2001
brokstuk		fragment	1. aardrijk		zelfstandig naamwoord		1872	GVD	leen	Duits			CW 2001
bromelia		plantensoort	2. plantenrijk	planten	zelfstandig naamwoord		1906	WP	leen	Latijn			CW 2001
brommen		in de gevangenis zitten			werkwoord				leen	Duits	brummen?		Leenwoordenboek 2005
bron		uit de grond opwellend water	1. aardrijk	water	zelfstandig naamwoord		1605	WNT verfrisschen	leen	Duits			CW 2001
bronchiën		vertakkingen van de luchtpijp	4. mensenwereld	lichaamsdelen	zelfstandig naamwoord		1669	MEY	leen	Frans			CW 2001
bronchitis		ontsteking van de luchtpijptakken	19. wetenschap	kwalen	zelfstandig naamwoord		1832	WEI	leen	Latijn			CW 2001
brons		legering van koper en tin	19. wetenschap	natuurk. stoffen	zelfstandig naamwoord		1590	WNT	leen	Frans			CW 2001
bronst		paartijd	3. dierenrijk		zelfstandig naamwoord		1599	WNT	leen	Duits			CW 2001
brooche					zelfstandig naamwoord		1955		leen	Hebreeuws			EWB2
broom		chemisch element	19. wetenschap	chem. elementen	zelfstandig naamwoord		1886	KKU	leen	Frans			CW 2001
broos	2	toneellaars			zelfstandig naamwoord		1872		leen	Frans			EWB2
broots		trekfrees			zelfstandig naamwoord		1984		leen	Engels			EWB2
bros	2	schoenmakerspriem			zelfstandig naamwoord		1806		leen	Frans			EWB2
brossen		spijbelen			werkwoord		1992		leen	Frans			EWB2
brougham		type rijtuig	10. voortbewegen	transportmiddel	zelfstandig naamwoord		1903	Prick 1903	leen	Engels			CW 2001
brouille		onmin			zelfstandig naamwoord		1929		leen	Frans			EWB2
brouilleren		onenig maken	9. sociale leven	ruzie	werkwoord		1573	Aanv WNT	leen	Frans			CW 2001
brouillon		ontwerp			zelfstandig naamwoord		1847		leen	Frans			EWB2
brownie		koekje met chocolade en nootjes	6. consumptie	gebak	zelfstandig naamwoord		1989	Peptalk	leen	Engels			CW 2001
browning		soort pistool	14. leger	wapens	zelfstandig naamwoord		1947	WNT automaat Suppl	leen	Engels			CW 2001
browser		computerprogramma waarmee elektronische bestanden kunnen worden geraadpleegd 	21. communicatie	ICT	zelfstandig naamwoord		1994	PC+ 3/11, 19, 15	leen	Engels			CW 2001
broyeren		verbrijzelen			werkwoord		1912		leen	Frans			EWB2
bruikbaar					bijvoeglijk naamwoord				leen	Duits	brauchbar		Leenwoordenboek 2005
bruineren		polijsten			werkwoord		1350		leen	Frans			EWB2
brullen		hard geluid maken	5. zintuiglijkheden	gehoor	werkwoord		1483	MNW	leen	Duits			CW 2001
brumaire		nevelmaand	7. tijd	tijdrekening	zelfstandig naamwoord		1824	WEI	leen	Frans			CW 2001
brunch		maaltijd	6. consumptie		zelfstandig naamwoord		1957	WP jaarboek 1958	leen	Engels			CW 2001
brunel		plantengeslacht			zelfstandig naamwoord		1351		leen	Latijn			EWB2
brunette		meisje met donkerbruine haren en ogen	4. mensenwereld	neutraal	zelfstandig naamwoord	persoonsaanduiding	1720	MEY	leen	Frans			CW 2001
brushing		het föhnen van het haar met borstel			zelfstandig naamwoord		1984		leen	Engels			EWB2
brusje		soort pijpenrager			zelfstandig naamwoord		1902		leen	Engels			EWB2
brut		droog (van champagne)	5. zintuiglijkheden	smaak	bijvoeglijk naamwoord		1984	GVD	leen	Frans			CW 2001
brutaal		onbeschoft	4. mensenwereld	eigenschappen	bijvoeglijk naamwoord		1808	WNT	leen	Frans		huidige bet	CW 2001
bruto		bijwoord: met emballage, zonder aftrek van kortingen	12. handel		bijwoord		1599	Kool	leen	Italiaans			CW 2001
bruusk		kortaf	4. mensenwereld	eigenschappen	bijvoeglijk naamwoord		1650	Claes	leen	Frans			CW 2001
bruuskeren		onheus bejegenen	4. mensenwereld		werkwoord		1872	GVD	leen	Frans			CW 2001
bruut		ruw	9. sociale leven	ruzie	bijvoeglijk naamwoord		1923	Aanv WNT	leen	Frans			CW 2001
bruyant		luidruchtig			bijvoeglijk naamwoord		1961		leen	Frans			EWB2
