trefwoord	homon	bettr	thema	subthema1	POS	hulpthema	jaarrek	bronboek	status	geleend_uit	leenvorm	opmerking	bron
à		voorzetsel	20. taalkunde		voorzetsel		1832	WEI	leen	Frans	à		CW 2001
à bout portant		op de man af			anders		1865		leen	Frans			EWB2
a capella		zonder instrumentale begeleiding	18. muziek		bijvoeglijk naamwoord		1772	Bouvink	leen	Italiaans			CW 2001
à charge					anders				leen	Frans	à charge		Leenwoordenboek 2005
a conto		op rekening			anders		1824		leen	Italiaans			EWB2
a costi		in uw stad			anders		1624		leen	Italiaans			EWB2
à décharge					anders				leen	Frans	à décharge		Leenwoordenboek 2005
a fortiori		bijwoord: met meer reden	20. taalkunde		bijwoord		1600	WNT reden I	leen	Latijn			CW 2001
à gogo					bijwoord		1992		leen	Frans			EWB2
a governo					anders				leen	Italiaans	a governo		Leenwoordenboek 2005
à l’improviste					anders				leen	Frans	à l’improviste		Leenwoordenboek 2005
à la bonne heure					anders				leen	Frans	à la bonne heure		Leenwoordenboek 2005
à la minute					anders				leen	Frans	à la minute		Leenwoordenboek 2005
à la mode					anders				leen	Frans	à la mode		Leenwoordenboek 2005
à point		van vlees, zo gebakken dat het binnenin nog rood is			anders		1824		leen	Frans			EWB2
a posteriori		bijwoord: achteraf gedacht	7. tijd		bijwoord		1824	WEI	leen	Latijn			CW 2001
a prima vista		bijwoord: van het blad (zingen of spelen)	18. muziek		bijwoord		1772	Bouvink	leen	Italiaans			CW 2001
a priori		bijwoord: vooraf	7. tijd		bijwoord		1658	MEY	leen	Latijn			CW 2001
à propos		tussenwerpsel: wat ik wilde zeggen	20. taalkunde		tussenwerpsel		1704	WNT	leen	Frans			CW 2001
a tempo		in de aangegeven tijdmaat			anders		1772		leen	Italiaans			EWB2
à titre personnel					anders				leen	Frans	à titre personnel		Leenwoordenboek 2005
à tout prix					anders				leen	Frans	à tout prix		Leenwoordenboek 2005
à votre santé					anders				leen	Frans	à votre santé		Leenwoordenboek 2005
A-bom		atoombom	14. leger	wapens	zelfstandig naamwoord		1945-1950	Van Nierop 1975	leen	Engels			CW 2001
A.D.					anders				leen	Latijn	A.D. = Anno Domini		Leenwoordenboek 2005
a.m.					anders				leen	Latijn	a.m. = ante meridiem		Leenwoordenboek 2005
aad		bepaald vat, gebruikt voor het afromen van melk			zelfstandig naamwoord		1950		leen	Fries			EWB2
aalmoes		gift	8. religie		zelfstandig naamwoord		1236	CG I1, 22	leen	Frans			CW 2001
aalmoezenier		katholiek geestelijke	8. religie		zelfstandig naamwoord	persoonsaanduiding	1251-1275	CG I1, 292	leen	Frans			CW 2001
aam		vochtmaat			zelfstandig naamwoord		1285-1286		leen	Latijn			EWB2
aandacht		belangstelling	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1430	HWS	leen	Duits			CW 2001
aanhangwagen		wagen die door andere wordt voortgetrokken	10. voortbewegen	transportmiddel	zelfstandig naamwoord		1934	Vd Sijs 1996, 236	leen	Duits			CW 2001
aanhankelijkheid		innige gehechtheid	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1847	Vd Sijs 1996	leen	Duits			CW 2001
aankatsen					werkwoord				leen	Rotwelsch	anquatschen		Leenwoordenboek 2005
aanknopingspunt					zelfstandig naamwoord				leen	Duits	Anknüpfungspunkt		Leenwoordenboek 2005
aankwatsen					werkwoord				leen	Rotwelsch	anquatschen		Leenwoordenboek 2005
aanleg					zelfstandig naamwoord				leen	Duits	Anlage		Leenwoordenboek 2005
aanmatigen		wederrechtelijk aanspraak maken op	4. mensenwereld		werkwoord		1658	WNT	leen	Duits			CW 2001
aanspreken		bevallen			werkwoord				leen	Duits	ansprechen		Leenwoordenboek 2005
aanstalten					zelfstandig naamwoord		1816		leen	Duits			EWB2
aantal		onbepaalde veelheid	19. wetenschap	hoeveelheden	zelfstandig naamwoord	groepsaanduiding	1634	WNT land	leen	Nederduits			CW 2001
aanvankelijk		bijwoord van tijd: in het begin	7. tijd		bijwoord		1784-1785	WNT	leen	Duits			CW 2001
aanverwant					zelfstandig naamwoord				leen	Duits	anverwandt		Leenwoordenboek 2005
aardvarken		buistandig zoogdier	3. dierenrijk	zoogdieren	zelfstandig naamwoord	dieraanduiding wild	1779	WNT	leen	Afrikaans			CW 2001
aardwolf		hyena-achtige	3. dierenrijk	zoogdieren	zelfstandig naamwoord	dieraanduiding wild	1882	WNT z.j.	leen	Afrikaans			CW 2001
aäronskelk					zelfstandig naamwoord				leen	Latijn	arum		Leenwoordenboek 2005
aartsbisschop		metropoliet	8. religie		zelfstandig naamwoord	persoonsaanduiding	1240	Bern.	leen	Latijn			CW 2001
aartsengel					zelfstandig naamwoord				leen	Latijn	archangelus		Leenwoordenboek 2005
aartsvader					zelfstandig naamwoord				leen	Latijn	patriarcha		Leenwoordenboek 2005
aat		een soort wilde haver			zelfstandig naamwoord		1854		leen	Engels			EWB2
ab ovo		van den beginne af			anders		1794		leen	Latijn			EWB2
aba		wollen stof			zelfstandig naamwoord		1912		leen	Engels			EWB2
abaca		manillahennep			zelfstandig naamwoord		1832		leen	Spaans			EWB2
abactis					zelfstandig naamwoord				leen	Latijn	(servus) ab actis		Leenwoordenboek 2005
abacus		telraam	19. wetenschap	wiskunde	zelfstandig naamwoord		1515	WNT trezoor	leen	Latijn			CW 2001
abaliënatie		vervreemding			zelfstandig naamwoord		1650		leen	Latijn			EWB2
abaliëneren		vervreemden			werkwoord		1658		leen	Latijn			EWB2
abalone		mosselsoort			zelfstandig naamwoord		1992		leen	Spaans			EWB2
abandon		afstand, overgave			zelfstandig naamwoord		1576		leen	Frans			EWB2
abandonneren		afstand doen van			werkwoord		1265-1270		leen	Frans			EWB2
abat-jour		bovenlicht, zonneblind			zelfstandig naamwoord		1824		leen	Frans			EWB2
abattoir		slachthuis	9. sociale leven	straat	zelfstandig naamwoord	gebouw	1861	WNT villen I	leen	Frans			CW 2001
abaya					zelfstandig naamwoord				leen	Arabisch	‘abāya		Leenwoordenboek 2005
Abba		aanspreekvorm van God			zelfstandig naamwoord		1291-1300		leen	Latijn			EWB2
abbatiaal		m.b.t. abt of abdij			bijvoeglijk naamwoord		1772		leen	Latijn			EWB2
abbé		geestelijke			zelfstandig naamwoord		1824		leen	Frans			EWB2
abberdaan					zelfstandig naamwoord				leen	Frans	abourdan		Leenwoordenboek 2005
abbreviatie		afkorting			zelfstandig naamwoord		1548		leen	Latijn			EWB2
abbreviatoren		college belast met het samenstellen van de minuten van pauselijke bullen			zelfstandig naamwoord		1824		leen	Latijn			EWB2
abbreviatuur		verkorting (in schrift of muziek)			zelfstandig naamwoord		1602		leen	Latijn			EWB2
abbreviëren		afkorten			werkwoord		1451-1454		leen	Latijn			EWB2
abces		ettergezwel	19. wetenschap	kwalen	zelfstandig naamwoord		1669	MEY	leen	Frans			CW 2001
Abderiet		onnozele hals			zelfstandig naamwoord		1602		leen	Latijn			EWB2
abdicatie		troonsafstand	15. overheid		zelfstandig naamwoord		1824	WEI	leen	Frans			CW 2001
abdiceren		troonsafstand doen	15. overheid	ambtelijke taal	werkwoord		1824	WEI	leen	Latijn		huidige bet.	CW 2001
abdij		klooster	8. religie		zelfstandig naamwoord	gebouw	1240	Bern.	leen	Latijn			CW 2001
abdiqueren		troonsafstand doen			werkwoord		1865		leen	Frans			EWB2
abdis		overste van vrouwenklooster	8. religie		zelfstandig naamwoord	persoonsaanduiding	1265-1270	CG Lut.K	leen	Latijn			CW 2001
abdomen		onderbuik	4. mensenwereld	lichaamsdelen	zelfstandig naamwoord		1661	Aanv WNT	leen	Latijn			CW 2001
abduceren		wegvoeren			werkwoord		1658		leen	Latijn			EWB2
abductie		wegvoering	15. overheid	justitie	zelfstandig naamwoord		1658	MEY	leen	Latijn			CW 2001
abecedarium		eerste spelboekje			zelfstandig naamwoord		1541-1600		leen	Latijn			EWB2
abeel		populier	2. plantenrijk	bomen	zelfstandig naamwoord		1240	CG I Gent	leen	Frans			CW 2001
abel		bekwaam	4. mensenwereld	eigenschappen	bijvoeglijk naamwoord		1350-1420	MNW	leen	Frans			CW 2001
abelia		heester			zelfstandig naamwoord		1905		leen	Latijn			EWB2
abelmos		struik			zelfstandig naamwoord		1775		leen	Latijn			EWB2
aberdeen		forelhaak			zelfstandig naamwoord		1968		leen	Engels			EWB2
aberratie		afwijking	19. wetenschap	medisch	zelfstandig naamwoord		1658	MEY	leen	Frans			CW 2001
abessijn		kattensoort	3. dierenrijk	zoogdieren	zelfstandig naamwoord	dieraanduiding huis	1951	Sanders 1995	leen	Engels			CW 2001
abhorreren		verfoeien			werkwoord		1650		leen	Frans			EWB2
abimeren		te gronde richten			werkwoord		1847		leen	Frans			EWB2
abis perkara		hiermee uit!			anders		1910		leen	Maleis			EWB2
abituriënt		eindexamenkandidaat	9. sociale leven	onderwijs	zelfstandig naamwoord	persoonsaanduiding	1824	WEI	leen	Duits			CW 2001
abject		verachtelijk	4. mensenwereld	eigenschappen	bijvoeglijk naamwoord		1824	WEI	leen	Frans			CW 2001
abjectie		verwerping, zelfvernedering			zelfstandig naamwoord		1669		leen	Frans			EWB2
ablactatie		het staken van borstvoeding			zelfstandig naamwoord		1658		leen	Latijn			EWB2
ablatie		losmaking			zelfstandig naamwoord		1650		leen	Frans			EWB2
ablatief		zesde naamval	20. taalkunde	overig	zelfstandig naamwoord		1633	Ruijs	leen	Latijn			CW 2001
ablaut		regelmatige klankwisseling	20. taalkunde	overig	zelfstandig naamwoord		1846	WNT wortel	leen	Duits			CW 2001
ablegaat		pauselijk afgezant			zelfstandig naamwoord		1824		leen	Latijn			EWB2
ablutie		afwassing van de handen van de priester en van de miskelk			zelfstandig naamwoord		1479		leen	Frans			EWB2
abnormaal					bijvoeglijk naamwoord				leen	Frans	anormal		Leenwoordenboek 2005
aboena		de patriarch van de Ethiopische kerk			zelfstandig naamwoord		1863		leen	Amhaars			EWB2
aboleren		afschaffen			werkwoord		1484		leen	Frans			EWB2
abolitie		afschaffing	15. overheid	justitie	zelfstandig naamwoord		1540	HWS	leen	Frans		huidige bet	CW 2001
abominabel		afschuwelijk	4. mensenwereld	eigenschappen	bijvoeglijk naamwoord		1301-1400	HWS	leen	Frans			CW 2001
abondance					zelfstandig naamwoord				leen	Frans	abondance		Leenwoordenboek 2005
abondant		overvloedig			bijvoeglijk naamwoord		1550		leen	Frans			EWB2
abondantie					zelfstandig naamwoord				leen	Frans	abondance		Leenwoordenboek 2005
abonnee					zelfstandig naamwoord				leen	Frans	abonné		Leenwoordenboek 2005
abonnement					zelfstandig naamwoord				leen	Frans	abonnement		Leenwoordenboek 2005
abonneren		intekenen	21. communicatie	schriftelijk	werkwoord		1824	WEI	leen	Frans			CW 2001
aborderen		aanklampen			werkwoord		1544		leen	Frans			EWB2
aborigines		oorspronkelijke bewoners			zelfstandig naamwoord		1612		leen	Latijn			EWB2
aborteren		een miskraam hebben of opwekken	4. mensenwereld	seks	werkwoord		1650	MEY	leen	Latijn			CW 2001
abortief		vruchtafdrijvend	4. mensenwereld	seks	bijvoeglijk naamwoord		1824	WEI	leen	Frans			CW 2001
abortus		ontijdige geboorte, miskraam	4. mensenwereld	seks	zelfstandig naamwoord		1663	MEY	leen	Latijn			CW 2001
aboulie		besluiteloosheid			zelfstandig naamwoord		1910-1914		leen	Frans		herkomst alleen fr.	EWB2
abracadabra		toverspreuk	20. taalkunde		tussenwerpsel		1726	WNT	leen	Grieks			CW 2001
abraham		speculaaspop gegeven aan mannen bij hun 50e verjaardag, omdat zij `Abraham gezien hebben'			zelfstandig naamwoord		1930		leen	Latijn			EWB2
abri		wachthuisje	10. voortbewegen		zelfstandig naamwoord	gebouw	1886	KKU	leen	Frans			CW 2001
abrikoos		vrucht	2. plantenrijk	vruchten	zelfstandig naamwoord		1625	WNT Suppl	leen	Frans		huidige vorm	CW 2001
abrogatie		afschaffing			zelfstandig naamwoord		1824		leen	Frans			EWB2
abrupt		plotseling plaatshebbend	7. tijd		bijvoeglijk naamwoord		1650	MEY	leen	Frans			CW 2001
abrupta		korte, puntige gezegden			zelfstandig naamwoord		1824		leen	Latijn			EWB2
abscis		afstand van een punt tot de y-as	19. wetenschap	wiskunde	zelfstandig naamwoord		1847	KKU	leen	Latijn			CW 2001
abscissie		afscheuring			zelfstandig naamwoord		1658		leen	Latijn			EWB2
abseilen		zich langs een touw naar beneden laten zakken	22. sport+spel		werkwoord		1997	Kampioen dl. 112, 4, 606-66, 7	leen	Duits			CW 2001
absent		afwezig	15. overheid	ambtelijke taal	bijvoeglijk naamwoord		1404	Claes	leen	Frans			CW 2001
absenteren		zich verwijderen	15. overheid	ambtelijke taal	werkwoord		1448	HWS	leen	Frans			CW 2001
absentie		afwezigheid	15. overheid	ambtelijke taal	zelfstandig naamwoord		1370-1378	HWS	leen	Latijn			CW 2001
abside		uitbouw in kerk			zelfstandig naamwoord		1832		leen	Frans			EWB2
absidiool		absidekapel			zelfstandig naamwoord		1961		leen	Frans			EWB2
absint		likeur	6. consumptie	alcoholica	zelfstandig naamwoord		1775	WNT	leen	Frans			CW 2001
absintine		bestanddeel van de alsemplant dat de bittere smaak veroorzaakt			zelfstandig naamwoord		1847		leen	Engels			EWB2
absis					zelfstandig naamwoord				leen	Latijn	absis		Leenwoordenboek 2005
absolutie		vergiffenis van zonden	8. religie		zelfstandig naamwoord		1265-1270	CG Lut.K	leen	Frans			CW 2001
absolutisme		onbeperkte heerschappij	15. overheid	systeem	zelfstandig naamwoord		1872	GVD	leen	Frans			CW 2001
absoluut		volstrekt	15. overheid	ambtelijke taal	bijvoeglijk naamwoord		1553	Vd Werve	leen	Latijn			CW 2001
absolveren		kwijtschelden	8. religie		werkwoord		1265-1270	CG Lut.K	leen	Latijn			CW 2001
absorbens		absorberende stof			zelfstandig naamwoord		1824		leen	Latijn			EWB2
absorberen		inzuigen	19. wetenschap	natuurwetenschappen	werkwoord		1553	Vd Werve	leen	Frans			CW 2001
absorptie		inzuiging	19. wetenschap	natuurk. proces	zelfstandig naamwoord		1824	WEI	leen	Frans			CW 2001
absoute		uitvaartmis, waarin voor de overledene om kwijtschelding van straf wordt gebeden			zelfstandig naamwoord		1929		leen	Frans			EWB2
abstinent		iemand die zich vrijwillig onthoudt	8. religie		zelfstandig naamwoord	persoonsaanduiding	1301-1350	HWS	leen	Frans			CW 2001
abstinentie		vrijwillige onthouding	8. religie		zelfstandig naamwoord		1265-1270	CG Lut.K	leen	Frans			CW 2001
abstineren		zich onthouden			werkwoord		1485		leen	Frans			EWB2
abstract		afgetrokken	19. wetenschap		bijvoeglijk naamwoord		1650	Claes Tw. 12	leen	Latijn		huidige bet.	CW 2001
abstractie		afgetrokken begrip	19. wetenschap		zelfstandig naamwoord		1824	WEI	leen	Frans		huidige bet.	CW 2001
abstractum		abstract begrip			zelfstandig naamwoord		1824		leen	Latijn			EWB2
abstraheren		in gedachte afzonderen	19. wetenschap		werkwoord		1824	WEI	leen	Latijn		huidige bet.	CW 2001
abstruus		gewrongen			bijvoeglijk naamwoord		1847		leen	Frans			EWB2
absurd		ongerijmd	4. mensenwereld	eigenschappen	bijvoeglijk naamwoord		1548	WNT	leen	Frans			CW 2001
absurditeit		ongerijmdheid	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1658	MEY	leen	Frans			CW 2001
abt		overste van monnikenklooster	8. religie		zelfstandig naamwoord	persoonsaanduiding	1220-1240	CG II1 Aiol	leen	Latijn			CW 2001
abuis		vergissing	15. overheid	ambtelijke taal	zelfstandig naamwoord		1410	MNW	leen	Frans		huidige bet	CW 2001
abundant		abondant			bijvoeglijk naamwoord		1560		leen	Frans			EWB2
abundantie					zelfstandig naamwoord				leen	Latijn	abundantia		Leenwoordenboek 2005
abuseren		misbruik maken			werkwoord		1456		leen	Frans			EWB2
abusief		verkeerd			bijvoeglijk naamwoord		1572		leen	Frans			EWB2
abyssaal		betrekking hebbend op de diepte			bijvoeglijk naamwoord		1932		leen	Frans			EWB2
acacia		boomsoort	2. plantenrijk	bomen	zelfstandig naamwoord		1554	Dod.	leen	Latijn			CW 2001
academicus		iem. met academische opleiding	9. sociale leven	onderwijs	zelfstandig naamwoord	persoonsaanduiding	1648	WNT raken	leen	Latijn			CW 2001
academie		genootschap ter bevordering van wetenschap en kunst, hogeschool	9. sociale leven	onderwijs	zelfstandig naamwoord		1575	WNT wassen I	leen	Latijn			CW 2001
acajou		houtsoort			zelfstandig naamwoord		1843		leen	Frans			EWB2
acalefen		zeekwallen			zelfstandig naamwoord		1897		leen	Latijn			EWB2
acanthus		doornachtige plant	2. plantenrijk	planten	zelfstandig naamwoord		1608	WNT berenklauw	leen	Latijn			CW 2001
acatène		kettingloos rijwiel			zelfstandig naamwoord		1929		leen	Frans			EWB2
accableren		overstelpen			werkwoord		1650		leen	Frans			EWB2
accapareren		zich meester maken van			werkwoord		1847		leen	Frans			EWB2
accelerando		bijwoord: in versneld tempo	18. muziek		bijwoord		1824	WEI	leen	Italiaans			CW 2001
acceleratie		versnelling	10. voortbewegen		zelfstandig naamwoord		1625	WNT Suppl	leen	Frans			CW 2001
accelerator		versneller	13. werk+industrie	apparaten	zelfstandig naamwoord		1896	KUI	leen	Engels			CW 2001
accelereren		versnellen	10. voortbewegen		werkwoord		1553	Vd Werve	leen	Frans			CW 2001
accent		klemtoon	20. taalkunde	overig	zelfstandig naamwoord		1240	Bern.	leen	Frans			CW 2001
accentuatie		het leggen van accent			zelfstandig naamwoord		1795		leen	Frans			EWB2
accept		het accepteren van een wissel			zelfstandig naamwoord		1847		leen	Duits			EWB2
acceptabel		aannemelijk	15. overheid	ambtelijke taal	bijvoeglijk naamwoord		1720	MEY	leen	Frans			CW 2001
acceptant		iem. die op zich neemt een wissel te betalen	12. handel		zelfstandig naamwoord	persoonsaanduiding	1631	WNT	leen	Frans			CW 2001
acceptatie		aanneming, aanvaarding	15. overheid	ambtelijke taal	zelfstandig naamwoord		1511	HWS	leen	Frans			CW 2001
accepté		algemeen aanvaard			bijvoeglijk naamwoord		1992		leen	Frans			EWB2
accepteren		aannemen	15. overheid	ambtelijke taal	werkwoord		1452-1494	HWS	leen	Frans			CW 2001
acceptie		aanneming			zelfstandig naamwoord		1847		leen	Frans			EWB2
acceptor		atoom of molecule dat een extern elektron kan ontvangen			zelfstandig naamwoord		1992		leen	Engels			EWB2
acces		toegang			zelfstandig naamwoord		1351		leen	Frans			EWB2
accessibel		toegankelijk			bijvoeglijk naamwoord		1658		leen	Frans			EWB2
accessibiliteit		toegankelijkheid			zelfstandig naamwoord		1847		leen	Frans			EWB2
accessie		toetreding			zelfstandig naamwoord		1351		leen	Frans			EWB2
accessit		tweede prijs			zelfstandig naamwoord		1824		leen	Latijn			EWB2
accessoire					zelfstandig naamwoord				leen	Frans	accessoire		Leenwoordenboek 2005
accessoires		bijkomende zaken	9. sociale leven	spullen	zelfstandig naamwoord		1503	Boutillier	leen	Frans			CW 2001
accessoor					zelfstandig naamwoord				leen	Frans	accessoire		Leenwoordenboek 2005
accessoria		toevoegsel, bijwerk			zelfstandig naamwoord		1847		leen	Latijn			EWB2
accessorisch		bijkomend			bijvoeglijk naamwoord		1847		leen	Duits			EWB2
accident		ongeluk			zelfstandig naamwoord		1503		leen	Frans			EWB2
accidenteel		toevallig			bijvoeglijk naamwoord		1669		leen	Frans			EWB2
accijns		verbruiksbelasting	15. overheid		zelfstandig naamwoord		1629	WNT	leen	Latijn		huidige vorm	CW 2001
acclamatie		toejuiching	15. overheid	ambtelijke taal	zelfstandig naamwoord		1688	WNT knevelarij	leen	Frans			CW 2001
acclimatatie		gewenning aan andere luchtstreek			zelfstandig naamwoord		1847		leen	Frans			EWB2
acclimatiseren					werkwoord				leen	Engels	to acclimatisate		Leenwoordenboek 2005
accolade		haakje tot verbinding van twee of meer regels	20. taalkunde	overig	zelfstandig naamwoord		1824	WEI	leen	Frans			CW 2001
accommodabel		inschikkelijk			bijvoeglijk naamwoord		1669		leen	Frans			EWB2
accommodatie		aanpassing	19. wetenschap		zelfstandig naamwoord		1624	WNT	leen	Frans			CW 2001
accommoderen		aanpassen	9. sociale leven		werkwoord		1582	WNT Suppl nalezing	leen	Frans			CW 2001
accompagneren		begeleiden	9. sociale leven		werkwoord		1598	WNT	leen	Frans			CW 2001
accordeon		toetsinstrument	18. muziek	instrumenten	zelfstandig naamwoord		1847	KKU	leen	Frans			CW 2001
accorderen		overeenkomen, overeenstemmen	15. overheid	ambtelijke taal	werkwoord		1281	CG I1, 564	leen	Frans			CW 2001
accordo		12- tot 15-snarige viool			zelfstandig naamwoord		1914		leen	Italiaans			EWB2
accosteren		aanklampen			werkwoord		1865		leen	Frans			EWB2
accoucheren		bevallen			werkwoord		1824		leen	Frans			EWB2
accountant		rekeningkundige	12. handel	beroepen	zelfstandig naamwoord	persoonsaanduiding	1897	KOE	leen	Engels			CW 2001
accrediteren		van geloofsbrieven voorzien	12. handel		werkwoord		1734	WNT	leen	Frans			CW 2001
accreditief		opdracht aan een bank om voor iem. geld ter beschikking te stellen			zelfstandig naamwoord		1865		leen	Frans			EWB2
accres		aanwas			zelfstandig naamwoord		1682		leen	Frans			EWB2
accretie		wat aangegroeid is			zelfstandig naamwoord		1698		leen	Latijn			EWB2
accrocheren		aanknopen			werkwoord		1757		leen	Frans			EWB2
accumulatie		opeenhoping	19. wetenschap		zelfstandig naamwoord		1786	WNT	leen	Frans			CW 2001
accumulatief		opeenhopend			bijvoeglijk naamwoord		1669		leen	Frans			EWB2
accumulator		energiereservoir	13. werk+industrie	apparaten	zelfstandig naamwoord		1875	WNT	leen	Latijn			CW 2001
accumuleren		opeenhopen	19. wetenschap		werkwoord		1524	HWS	leen	Frans			CW 2001
accuraat		nauwkeurig	4. mensenwereld	eigenschappen	bijvoeglijk naamwoord		1654	MEY	leen	Duits			CW 2001
accuratesse		zorgvuldigheid	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1698	WNT	leen	Duits			CW 2001
accusatie		beschuldiging			zelfstandig naamwoord		1530		leen	Frans			EWB2
accusatief		vierde naamval	20. taalkunde	overig	zelfstandig naamwoord		1605	P. Heyns, Cort onderwys	leen	Latijn			CW 2001
accuseren		beschuldigen			werkwoord		1476-1500		leen	Frans			EWB2
ace		bij tennis: service die niet kan worden geretourneerd	22. sport+spel		zelfstandig naamwoord		1984	GNN	leen	Engels			CW 2001
acefaal		(dier) zonder hoofd			zelfstandig naamwoord		1847		leen	Frans			EWB2
acetaat					zelfstandig naamwoord				leen	Latijn	acetum		Leenwoordenboek 2005
aceton					zelfstandig naamwoord				leen	Latijn	acetum		Leenwoordenboek 2005
achenebbisj		tussenwerpsel: uitroep van medelijden	20. taalkunde		tussenwerpsel		1961	GVD	leen	Jiddisch			CW 2001
Acheron		rivier in de onderwereld, onderwereld in de Oudheid			zelfstandig naamwoord		1629		leen	Latijn			EWB2
Achilles					zelfstandig naamwoord				leen	Latijn	Achilles		Leenwoordenboek 2005
acid		LSD	6. consumptie	drugssoort	zelfstandig naamwoord		1970	R75	leen	Engels			CW 2001
acid house		elektronische discomuziek	18. muziek	muzieksoort	zelfstandig naamwoord		1988	De Coster 1992	leen	Engels			CW 2001
acidimeter		zuurmeter			zelfstandig naamwoord		1847		leen	Frans			EWB2
aciditeit		zuurheid			zelfstandig naamwoord		1847		leen	Frans			EWB2
acme		hoogtepunt			zelfstandig naamwoord		1847		leen	Grieks			EWB2
acne		vetpuistje	19. wetenschap	kwalen	zelfstandig naamwoord		1832	WEI	leen	Grieks			CW 2001
acoliet		misdienaar			zelfstandig naamwoord		1351-1400		leen	Latijn			EWB2
acouchy		staartagoeti			zelfstandig naamwoord		1992		leen	Engels			EWB2
acquest		aanwinst			zelfstandig naamwoord		1669		leen	Frans			EWB2
acquiesceren		berusten			werkwoord		1650		leen	Latijn			EWB2
acquireren		verwerven			werkwoord		1650		leen	Latijn			EWB2
acquisiteur					zelfstandig naamwoord				pseudo-ontlening	pseudo-Frans			Leenwoordenboek 2005
acquisitie		aanwinst	12. handel		zelfstandig naamwoord		1518	HWS	leen	Frans			CW 2001
acquit		kwitantie	12. handel	betalen	zelfstandig naamwoord		1370-1378	HWS	leen	Frans			CW 2001
acquitteren		kwijten	12. handel		werkwoord		1650	Aanv WNT	leen	Frans			CW 2001
acre		vlaktemaat			zelfstandig naamwoord		1847		leen	Frans			EWB2
acribie		uiterste nauwkeurigheid			zelfstandig naamwoord		1824		leen	Grieks			EWB2
acroamatisch		voor het aanhoren bestemd			bijvoeglijk naamwoord		1824		leen	Grieks			EWB2
acrobaat		kunstenmaker	16. kunst	acteren	zelfstandig naamwoord	persoonsaanduiding	1824	WEI	leen	Frans			CW 2001
acrobatie					zelfstandig naamwoord				leen	Frans	acrobatie		Leenwoordenboek 2005
acroniem		letterwoord	20. taalkunde	overig	zelfstandig naamwoord		1990	WP	leen	Engels			CW 2001
acrostichon		naamvers	17. letterkunde	genres	zelfstandig naamwoord		1824	WEI	leen	Grieks			CW 2001
acroterie		bekronend ornament			zelfstandig naamwoord		1734		leen	Latijn			EWB2
act		nummer	16. kunst	toneelonderdeel	zelfstandig naamwoord		1965	R75	leen	Engels			CW 2001
acta		handelingen			zelfstandig naamwoord		1566		leen	Latijn			EWB2
acteur		toneelspeler	16. kunst	acteren	zelfstandig naamwoord	persoonsaanduiding	1553	Vd Werve	leen	Frans			CW 2001
actie		handeling	19. wetenschap		zelfstandig naamwoord		1390	HWS	leen	Latijn			CW 2001
actief		werkzaam	4. mensenwereld	eigenschappen	bijvoeglijk naamwoord		1580	WNT	leen	Frans			CW 2001
actinium		radioactief chemisch element	19. wetenschap	chem. elementen	zelfstandig naamwoord		1950	GVD	leen	Latijn			CW 2001
actionair		aandeelhouder			zelfstandig naamwoord		1847		leen	Frans			EWB2
actioneren		tegen iem. in rechte optreden			werkwoord		1824		leen	Frans			EWB2
activeren	a	aanwakkeren	19. wetenschap		werkwoord		1847	KKU	leen	Frans			CW 2001
activeren	b	een computerprogramma actief maken	21. communicatie	ICT	werkwoord		1999	R99	leen	Engels			CW 2001
activiteit		werkzaamheid	22. sport+spel		zelfstandig naamwoord		1663	MEY	leen	Frans			CW 2001
activum		bedrijvende vorm	20. taalkunde	overig	zelfstandig naamwoord		1633	Ruijs	leen	Latijn			CW 2001
actualiteit		onderwerp van de dag	21. communicatie	media	zelfstandig naamwoord		1754	WNT	leen	Frans			CW 2001
actualiter		werkelijk			bijwoord		1847		leen	Latijn			EWB2
actuaris		wiskundig adviseur	19. wetenschap		zelfstandig naamwoord	persoonsaanduiding	1754	WNT	leen	Latijn			CW 2001
actueel		op het ogenblik bestaand	7. tijd		bijvoeglijk naamwoord		1535	WNT	leen	Frans			CW 2001
actueren		tot werking brengen			werkwoord		1976		leen	Latijn			EWB2
acuïteit		scherpte			zelfstandig naamwoord		1910-1914		leen	Frans			EWB2
acustica		geluidsleer			zelfstandig naamwoord		1772		leen	Latijn			EWB2
acuut	a	plotseling opkomend (van ziekte)	19. wetenschap	medisch	bijvoeglijk naamwoord		1832	WEI	leen	Latijn			CW 2001
ad		advertentie			zelfstandig naamwoord				leen	Engels	ad		Leenwoordenboek 2005
ad absurdum					anders				leen	Latijn	ad absurdum		Leenwoordenboek 2005
ad fundum					anders				leen	Latijn	ad fundum		Leenwoordenboek 2005
ad hoc		voor deze zaak	15. overheid	ambtelijke taal	bijvoeglijk naamwoord		1839	WNT assimileeren Suppl	leen	Latijn			CW 2001
ad infinitum					anders				leen	Latijn	ad infinitum		Leenwoordenboek 2005
ad interim					anders				leen	Latijn	ad interim		Leenwoordenboek 2005
ad nauseam					anders				leen	Latijn	ad nauseam		Leenwoordenboek 2005
ad patres					anders				leen	Latijn	ad patres		Leenwoordenboek 2005
